;atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;slug;apelido;apelido_abreviado;nome;foto;id_atleta;scout.A;scout.CA;scout.DS;scout.FC;scout.FD;scout.FF;scout.FS;scout.PI;scout.CV;scout.FT;scout.G;scout.I;scout.SG;scout.DE;scout.GS;scout.PC;scout.PP;scout.PS;scout.DP;scout.GC
121;110506;38;275;6;7;6.26;12.52;0.25;4.23;37;abel-ferreira;Abel Ferreira;A. Ferreira;Abel Fernando Moreira Ferreira;https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png;121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
122;37674;38;286;4;6;0.0;3.7;0.0;1.44;11;wagner;Wagner;Wagner;Wagner Ferreira dos Santos;https://s.glbimg.com/es/sde/f/2021/03/25/4448d1571d9131c2d4f087cf19198f68_FORMATO.png;122;0.0;2.0;8.0;7.0;0.0;3.0;4.0;46.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
123;101201;38;354;5;6;0.0;3.0;0.0;0.0;0;victor-jacare;Victor Jacaré;V. Jacaré;Francisco Vítor Silva Costa;https://s.glbimg.com/es/sde/f/2020/08/25/682aea868615c09c3571352b835cc394_FORMATO.png;123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;87999;38;275;4;6;0.0;13.61;0.0;5.01;30;gustavo-scarpa;Gustavo Scarpa;G. Scarpa;Gustavo Henrique Furtado Scarpa;https://s.glbimg.com/es/sde/f/2021/04/30/e594285e6781941b0f08b58d66d6669e_FORMATO.png;124;11.0;2.0;23.0;20.0;23.0;29.0;37.0;257.0;0.0;4.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
125;93790;38;373;4;7;8.1;5.07;1.06;2.23;21;marlon-freitas;Marlon Freitas;M. Freitas;Marlon Rodrigues Freitas;https://s.glbimg.com/es/sde/f/2021/05/01/441dbd3fa5dc62d8f397990770aa1344_FORMATO.png;125;3.0;4.0;37.0;24.0;1.0;10.0;9.0;133.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
126;86759;38;264;4;6;0.0;1.62;0.0;0.43;17;luan;Luan;Luan;Luan Guilherme de Jesus Vieira;https://s.glbimg.com/es/sde/f/2021/08/06/328c913e6c5fb79d1eb23f608c77e539_FORMATO.png;126;0.0;1.0;4.0;11.0;4.0;7.0;18.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
127;38138;38;264;5;7;-1.0;7.45;-0.39;3.37;31;jo;Jô;Jô;João Alves de Assis Silva;https://s.glbimg.com/es/sde/f/2021/08/06/dab8965273d992c5a42e474aeed7ef37_FORMATO.png;127;4.0;0.0;11.0;26.0;10.0;13.0;40.0;121.0;0.0;4.0;6.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
128;94286;38;315;5;7;3.2;5.45;0.2;1.9;24;perotti;Perotti;Perotti;Pedro Henrique Perotti;https://s.glbimg.com/es/sde/f/2021/03/23/17acb053b61edf1d764249f524bbc93e_FORMATO.png;128;0.0;0.0;9.0;23.0;4.0;14.0;26.0;55.0;0.0;1.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
129;80189;38;265;3;6;0.0;4.08;0.0;0.1;3;lucas-fonseca;Lucas Fonseca;L. Fonseca;Lucas Fonseca da Silva;https://s.glbimg.com/es/sde/f/2021/04/19/00bf8cea25166406f5b6e02be5044d10_FORMATO.png;129;0.0;0.0;1.0;1.0;0.0;0.0;3.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
130;73620;38;276;3;7;1.9;7.75;-0.8;2.52;23;bruno-alves;Bruno Alves;B. Alves;Bruno Fabiano Alves;https://s.glbimg.com/es/sde/f/2021/05/01/c3188e22b4bb94c8132011441520e031_FORMATO.png;130;0.0;4.0;35.0;24.0;2.0;1.0;29.0;67.0;0.0;1.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
131;68727;38;282;2;7;9.7;7.68;0.41;4.26;13;dodo;Dodô;Dodô;José Rodolfo Pires Ribeiro;https://s.glbimg.com/es/sde/f/2021/04/23/e76071f6487eb601bf29be36a09f8cd9_FORMATO.png;131;0.0;3.0;23.0;10.0;2.0;3.0;6.0;59.0;0.0;0.0;1.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
132;68928;38;282;1;7;-4.0;3.17;-1.83;-4.0;1;rafael;Rafael;Rafael;Rafael Pires Monteiro;https://s.glbimg.com/es/sde/f/2021/05/02/7acdbbf5d8b2e088001e85a8071c3249_FORMATO.png;132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
133;81091;38;282;4;6;0.0;7.23;0.0;2.57;27;jair;Jair;Jair;Jair Rodrigues Júnior;https://s.glbimg.com/es/sde/f/2021/05/02/9f45c3d8021bc336ee9149455cd40768_FORMATO.png;133;1.0;6.0;64.0;40.0;2.0;6.0;31.0;72.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
134;70784;38;276;5;6;0.0;4.61;0.0;0.87;13;joao-rojas;Joao Rojas;J. Rojas;Joao Robin Rojas Mendoza;https://s.glbimg.com/es/sde/f/2021/05/01/4513956030dfcc6f4860c6af21211c0d_FORMATO.png;134;0.0;1.0;9.0;10.0;2.0;4.0;14.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135;71684;38;275;3;6;0.0;9.7;0.0;2.92;19;gustavo-gomez;Gustavo Gómez;G. Gómez;Gustavo Raúl Gómez Portillo;https://s.glbimg.com/es/sde/f/2021/04/30/6f48baaa83f44d6a1be5ee2b4f24d2d9_FORMATO.png;135;0.0;4.0;28.0;23.0;2.0;5.0;14.0;70.0;0.0;0.0;1.0;5.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
